Broad Emotion,Emotion,Synonyms,Definitions
Courageous,Adventurous,"adventurous, adventuresome",willing to undertake or seeking out new and daring enterprises
Courageous,Audacious,"intrepid, daring, brazen, fearless, audacious, venturesome, dauntless, barefaced, venturous, bodacious, brave, bald-faced, brazen-faced, hardy, insolent, brassy, unfearing",invulnerable to fear or intimidation; unrestrained by convention or propriety; ; ; ; ; disposed to venture or take risks
Courageous,Bold,"bluff, sheer, bold, bold face, boldface",a typeface with thick heavy lines; fearless and daring; clear and distinct; very steep; having a prominent and almost vertical front
Courageous,Brave,"weather, brave out, endure, gay, intrepid, fearless, audacious, dauntless, brave, braw, hardy, courageous, unfearing",a North American Indian warrior; people who are brave; face and withstand with courage; possessing or displaying courage; able to face and deal with danger or fear without flinching; invulnerable to fear or intimidation; brightly colored and showy
Courageous,Capable,"adequate to, subject, up to, open, capable, able, equal to",(usually followed by `of') having capacity or ability; possibly accepting or permitting; (followed by `of') having the temperament or inclination for; having the requisite qualities for; have the skills and qualifications to do things well
Courageous,Certain,"sure, certain, sealed",definite but not specified or identified; having or feeling no doubt or uncertainty; confident and assured; established beyond doubt or question; definitely known; certain to occur; destined or inevitable; ; ; established irrevocably; reliable in operation or effect; exercising or taking care great enough to bring assurance
Courageous,Cocky,cocky,overly self-confident or self-assertive
Courageous,Confident,"positive, confident, sure-footed, convinced, surefooted",having or marked by confidence or assurance; persuaded of; very sure; not liable to error in judgment or action
Courageous,Comfortable,"comfy, prosperous, well-fixed, easy, comfortable, well-situated, well-off, well-heeled, well-to-do",providing or experiencing physical well-being or relief (`comfy' is informal); free from stress or conducive to mental ease; having or affording peace of mind; more than adequate; sufficient to provide comfort; in fortunate circumstances financially; moderately rich
Courageous,Daring,"make bold, avant-garde, presume, daring, dare, audacious, venturesome, venturous, defy, hardiness, hardihood, boldness","a challenge to do something dangerous or foolhardy; the trait of being willing to undertake things that involve risk or danger; take upon oneself; act presumptuously, without permission; to be courageous enough to try or do something; ,; challenge; disposed to venture or take risks; radically new or original"
Courageous,Determined,"ascertain, settle, square up, driven, find out, influence, make up one's mind, mold, regulate, determine, compulsive, check, set, dictated, limit, watch, see, learn, define, shape, decide, fix, find, specify, square off, determined","establish after a calculation, investigation, experiment, survey, or study; shape or influence; give direction to; fix conclusively or authoritatively; decide upon or fix definitely; reach, make, or come to a decision about something; fix in scope; fix the boundaries of; settle conclusively; come to terms; find out, learn, or determine with certainty, usually by making an inquiry or other effort; characterized by great determination; having been learned or found or determined especially by investigation; devoting full strength and concentrated attention to; determined or decided upon as by an authority; strongly motivated to succeed"
Courageous,Fearless,"intrepid, fearless, audacious, dauntless, brave, unafraid, hardy, unfearing",oblivious of dangers or perils or calmly resolute in facing them; invulnerable to fear or intimidation
Courageous,Free,"resign, discharge, exempt, liberate, unloose, innocent, gratis, unloosen, destitute, barren, absolve, gratuitous, rid, relieve, detached, unblock, costless, give up, liberal, spare, disembarrass, release, dislodge, disengage, devoid, unfreeze, relinquish, loose, free people, complimentary, free, justify",people who are free; grant freedom to; free from confinement; relieve from; remove or force out from a position; grant relief or an exemption from a rule or requirement to; make (information) available for publication; free from obligations or duties; free or remove obstruction from; let off the hook; part with a possession or right; release (gas or energy) as a result of a chemical reaction or physical decomposition; make (assets) available; able to act at will; not hampered; not under compulsion or restraint; unconstrained or not chemically bound in a molecule or not fixed and capable of relatively unrestricted motion; costing nothing; not occupied or in use; not fixed in position; not held in servitude; not taken up by scheduled activities; completely wanting or lacking; not literal; without restraint
